palavra,categoria gramatical,fonética
a·bal·ro·a·do,adjetivo,ɐ.baɫ.ʀwˈa.du
a·bal·ro·a·men·to,nome masculino,ɐ.baɫ.ʀwɐ.mˈẽ.tu
a·bal·ro·ar,verbo,ɐ.baɫ.ʀwˈaɾ
a·ba·lu·ar·ta·do,adjetivo,ɐ.bɐ.lwɐɾ.tˈa.du
a·ba·lu·ar·tar,verbo,ɐ.bɐ.lwɐɾ.tˈaɾ
a·ba·ma,nome feminino,ɐ.bˈɐ.mɐ
a·ba·na·do,adjetivo,ɐ.bɐ.nˈa.du
a·ba·na·na·do,adjetivo,ɐ.bɐ.na.nˈa.du
a·ba·na·nar,verbo,ɐ.bɐ.na.nˈaɾ
a·ba·não,nome masculino,ɐ.bɐ.nˈɐ̃w
a·ba·nar,verbo,ɐ.bɐ.nˈaɾ
a·ban·ca·do,adjetivo,ɐ.bɐ̃ŋ.kˈa.du
a·ban·car,verbo,ɐ.bɐ̃ŋ.kˈaɾ
a·ban·da·lha·da·men·te,advérbio,ɐ.bɐ̃.dɐ.ʎɐ.dɐ.mˈẽ.tɨ
a·ban·da·lha·do,adjetivo,ɐ.bɐ̃.dɐ.ʎˈa.du
a·ban·da·lha·men·to,nome masculino,ɐ.bɐ̃.dɐ.ʎɐ.mˈẽ.tu
a·ban·da·lhar,verbo,ɐ.bɐ̃.dɐ.ʎˈaɾ
a·ban·dar,verbo,ɐ.bɐ̃.dˈaɾ
a·ban·do·na·da,nome feminino,ɐ.bɐ̃.du.nˈa.dɐ
a·ban·do·na·da·men·te,advérbio,ɐ.bɐ̃.du.na.dɐ.mˈẽ.tɨ
a·ban·do·na·do,adjetivo,ɐ.bɐ̃.du.nˈa.du
a·ban·do·na·do,nome masculino,ɐ.bɐ̃.du.nˈa.du
a·ban·do·nar,verbo,ɐ.bɐ̃.du.nˈaɾ
a·ban·do·no,nome masculino,ɐ.bɐ̃.dˈo.nu
a·ba·ni·car,verbo,ɐ.bɐ.ni.kˈaɾ
a·ba·ni·co,nome masculino,ɐ.bɐ.nˈi.ku
a·ba·no,nome masculino,ɐ.bˈɐ.nu
a·ban·te,adjetivo,ɐ.bˈɐ̃.tɨ
a·ban·te,nome masculino,ɐ.bˈɐ̃.tɨ
a·ban·te,nome feminino,ɐ.bˈɐ̃.tɨ
a·bar,verbo,ɐ.bˈaɾ
a·bar·ca,nome feminino,ɐ.bˈaɾ.kɐ
a·bar·ca·do,adjetivo,ɐ.bɐɾ.kˈa.du
a·bar·can·te,adjetivo,ɐ.bɐɾ.kˈɐ̃.tɨ
a·bar·can·te,nome masculino,ɐ.bɐɾ.kˈɐ̃.tɨ ou ɐ.bɐɾ.kˈɐ̃.tɨ
a·bar·car,verbo,ɐ.bɐɾ.kˈaɾ
a·bar·cá·vel,adjetivo,ɐ.bɐɾ.kˈa.vɛɫ
a·bar·ga,nome feminino,ɐ.bˈaɾ.gɐ
a·bar·quei·ro,nome masculino,ɐ.bɐɾ.kˈɐj.ɾu
a·bar·ra·ca·do,adjetivo,ɐ.bɐ.ʀɐ.kˈa.du
a·bar·ra·ca·men·to,nome masculino,ɐ.bɐ.ʀɐ.kɐ.mˈẽ.tu
a·bar·ra·car,verbo,ɐ.bɐ.ʀɐ.kˈaɾ
a·bar·ran·ca·men·to,nome masculino,ɐ.bɐ.ʀɐ̃.kɐ.mˈẽ.tu
a·bar·ran·car,verbo,ɐ.bɐ.ʀɐ̃ŋ.kˈaɾ
a·bar·ro·ta·do,adjetivo,ɐ.bɐ.ʀu.tˈa.du
a·bar·ro·tar,verbo,ɐ.bɐ.ʀu.tˈaɾ
a·bar·ti·cu·la·ção,nome feminino,ɐ.bɐɾ.ti.ku.lɐ.sˈɐ̃w
a·bar·ti·cu·lar,adjetivo,ɐ.bɐɾ.ti.ku.lˈaɾ
a·bar·tro·se,nome feminino,ɐ.bɐɾ.tɾˈɔ.zɨ
a·bas·ta·da·men·te,advérbio,ɐ.bɐʃ.tɐ.dɐ.mˈẽ.tɨ
a·bas·ta·do,adjetivo,ɐ.bɐʃ.tˈa.du
a·bas·tan·ça,nome feminino,ɐ.bɐʃ.tˈɐ̃.sɐ
a·bas·tar,verbo,ɐ.bɐʃ.tˈaɾ
a·bas·tar·da·da·men·te,advérbio,ɐ.bɐʃ.tɐɾ.dɐ.dɐ.mˈẽ.tɨ
a·bas·tar·da·do,adjetivo,ɐ.bɐʃ.tɐɾ.dˈa.du
a·bas·tar·da·men·to,nome masculino,ɐ.bɐʃ.tɐɾ.dɐ.mˈẽ.tu
a·bas·tar·dar,verbo,ɐ.bɐʃ.tɐɾ.dˈaɾ
a·bas·te·ce·dor,adjetivo,ɐ.bɐʃ.tɨ.sɨ.dˈoɾ
a·bas·te·ce·dor,nome masculino,ɐ.bɐʃ.tɨ.sɨ.dˈoɾ
a·bas·te·ce·do·ra,nome feminino,ɐ.bɐʃ.tɨ.sɨ.dˈo.ɾɐ
a·bas·te·cer,verbo,ɐ.bɐʃ.tɨ.sˈeɾ
a·bas·te·ci·do,adjetivo,ɐ.bɐʃ.tɨ.sˈi.du
a·bas·te·ci·men·to,nome masculino,ɐ.bɐʃ.tɨ.si.mˈẽ.tu
a·bat-jour,nome masculino,
a·ba·ta·na·do,adjetivo,ɐ.bɐ.tɐ.nˈa.du
a·ba·ta·ta·do,adjetivo,ɐ.bɐ.tɐ.tˈa.du
a·ba·ta·tar,verbo,ɐ.bɐ.tɐ.tˈaɾ
a·ba·te,nome masculino,ɐ.bˈa.tɨ
a·ba·ter,verbo,ɐ.bɐ.tˈeɾ
a·ba·ti·da·men·te,advérbio,ɐ.bɐ.ti.dɐ.mˈẽ.tɨ
a·ba·ti·do,adjetivo,ɐ.bɐ.tˈi.du
a·ba·ti·men·to,nome masculino,ɐ.bɐ.ti.mˈẽ.tu
a·ba·ti·na·do,adjetivo,ɐ.bɐ.ti.nˈa.du
a·ba·ti·nar,verbo,ɐ.bɐ.ti.nˈaɾ
a·bau·la·da·men·te,advérbio,ɐ.baw.lɐ.dɐ.mˈẽ.tɨ
a·ba·u·la·do,adjetivo,ɐ.baw.lˈa.du
a·ba·u·la·men·to,nome masculino,ɐ.bɐ.u.lɐ.mˈẽ.tu
a·ba·u·lar,verbo,ɐ.bɐ.u.lˈaɾ
a·bau·ni·lha·do,adjetivo,ɐ.baw.ni.ʎˈa.du
a·bau·ni·lhar,verbo,ɐ.baw.ni.ʎˈaɾ
a·ba·xi·al,adjetivo,ɐ.bɐk.sjˈaɫ
abc,nome masculino,ˌa.bˌe.sˈe
ab·ce·dên·ci·a,nome feminino,ɐb.sɨ.dˈẽ.sjɐ
ab·ce·den·te,adjetivo,ɐb.sɨ.dˈẽ.tɨ
ab·ce·der,verbo,ɐb.sɨ.dˈeɾ
ab·ces·são,nome feminino,ɐb.sɨ.sˈɐ̃w
ab·ces·so,nome masculino,ɐb.sˈɛ.su
ab·ci·são,nome feminino,ɐb.si.zˈɐ̃w
ab·di·ca·ção,nome feminino,ɐb.di.kɐ.sˈɐ̃w
ab·di·ca·do,adjetivo,ɐb.di.kˈa.du
ab·di·car,verbo,ɐb.di.kˈaɾ
ab·dó·men,nome masculino,ɐb.dˈɔ.mɛ̃
ab·dô·men,nome masculino,ɐb.dˈo.mẽ
ab·do·mi·nal,nome masculino,ɐb.du.mi.nˈaɫ
ab·do·mi·nal,adjetivo,ɐb.du.mi.nˈaɫ
a·be·be·rar,verbo,ɐ.bɨ.bɨ.ɾˈaɾ
a·be·ce·da·ri·a·men·te,advérbio,ɐ.bɨ.sɨ.dɐ.ɾja.mˈẽ.tɨ
a·be·ce·dá·ri·o,nome masculino,ɐ.bɨ.sɨ.dˈa.ɾju
a·be·ce·dá·ri·o,adjetivo,ɐ.bɨ.sɨ.dˈa.ɾju
a·bé·cu·la,nome feminino,ɐ.bˈɛ.ku.lɐ
a·be·gão,nome masculino,ɐ.bɨ.gˈɐ̃w
a·be·go·a·ri·a,nome feminino,ɐ.bɨ.gwɐ.ɾˈi.ɐ
a·bei·ra·do,adjetivo,ɐ.bɐj.ɾˈa.du
a·bei·rar,verbo,ɐ.bɐj.ɾˈaɾ
a·bei·ro,nome masculino,ɐ.bˈɐj.ɾu
a·bei·ro,adjetivo,ɐ.bˈɐj.ɾu
a·be·lha,nome feminino,ɐ.bˈɐ.ʎɐ
a·be·lhar,verbo,ɐ.bɨ.ʎˈaɾ
a·be·lha·ru·co,nome masculino,ɐ.bɨ.ʎɐ.ɾˈu.ku
a·be·lhei·ra,nome feminino,ɐ.bɨ.ʎˈɐj.ɾɐ
a·be·lhu·da·men·te,advérbio,ɐ.bɨ.ʎu.dɐ.mˈẽ.tɨ
a·be·lhu·do,adjetivo,ɐ.bɨ.ʎˈu.du
a·be·lhu·do,nome masculino,ɐ.bɨ.ʎˈu.du
a·ben·cer·ra·gem,nome masculino,ɐ.bẽ.sɨ.ʀˈa.ʒɐ̃j
a·ben·ço·a·da·men·te,advérbio,ɐ.bẽ.swa.dɐ.mˈẽ.tɨ
a·ben·ço·a·do,adjetivo,ɐ.bẽ.swˈa.du
a·ben·ço·ar,verbo,ɐ.bẽ.swˈaɾ
a·ber·ra·ção,nome feminino,ɐ.bɨ.ʀɐ.sˈɐ̃w
a·ber·ran·te,adjetivo,ɐ.bɨ.ʀˈɐ̃.tɨ
a·ber·rar,verbo,ɐ.bi.ʀˈaɾ
a·ber·ta,nome feminino,ɐ.bˈɛɾ.tɐ
a·ber·ta·men·te,advérbio,ɐ.bɛɾ.tɐ.mˈẽ.tɨ
a·ber·tís·si·mo,adjetivo,ɐ.bɨɾ.tˈi.si.mu
a·ber·to,adjetivo,ɐ.bˈɛɾ.tu
a·ber·to,nome masculino,ɐ.bˈɛɾ.tu
a·ber·tu·ra,nome feminino,ɐ.bɨɾ.tˈu.ɾɐ
a·bes·pi·nha·da·men·te,advérbio,ɐ.bɨʃ.pi.ɲa.dɐ.mˈẽ.tɨ
a·bes·pi·nha·do,adjetivo,ɐ.bɨʃ.pi.ɲˈa.du
a·bes·pi·nhar,verbo,ɐ.bɨʃ.pi.ɲˈaɾ
a·bes·ti·ar,verbo,ɐ.biʃ.tjˈaɾ
a·be·ta,nome feminino,ɐ.bˈɛ.tɐ ou ɐ.bˈɛ.tɐ
a·be·tar·da,nome feminino,ɐ.bɨ.tˈaɾ.dɐ
a·be·ter·no,advérbio,ɐ.bi.tˈɛɾ.nu
a·be·to,nome masculino,ɐ.bˈɛ.tu
a·be·va·cu·a·ção,nome feminino,ɐ.bi.vɐ.kwɐ.sˈɐ̃w
a·bi·be,nome masculino,ɐ.bˈi.bɨ ou ɐ.bˈi.bɨ
a·bi·car,verbo,ɐ.bi.kˈaɾ
a·bi·ní·ci·o,advérbio,ɐ.bi.nˈi.sju
a·bir·ri·ta·ção,nome feminino,ɐ.bi.ʀi.tɐ.sˈɐ̃w
a·bir·ri·tan·te,adjetivo,ɐ.bi.ʀi.tˈɐ̃.tɨ
a·bir·ri·tar,verbo,ɐ.bi.ʀi.tˈaɾ
a·bir·ri·tá·vel,adjetivo,ɐ.bi.ʀi.tˈa.vɛɫ
a·bis·ma·do,adjetivo,ɐ.biʒ.mˈa.du
a·bis·mal,adjetivo,ɐ.biʒ.mˈaɫ
a·bis·mar,verbo,ɐ.biʒ.mˈaɾ
a·bis·mo,nome masculino,ɐ.bˈiʒ.mu
a·bis·sal,adjetivo,ɐ.bi.sˈaɫ
a·bis·sí·ni·a,nome feminino,ɐ.bi.sˈi.njɐ
a·bis·sí·ni·o,adjetivo,ɐ.bi.sˈi.nju
a·bis·sí·ni·o,nome masculino,ɐ.bi.sˈi.nju
a·bis·so,nome masculino,ɐ.bˈi.su
ab·je·ção,nome feminino,ɐb.ʒɛ.sˈɐ̃w
ab·je·ta·men·te,advérbio,ɐb.ʒɛ.tɐ.mˈẽ.tɨ
ab·je·to,adjetivo,ɐb.ʒˈɛ.tu
ab·ju·di·can·te,adjetivo,ɐb.ʒu.di.kˈɐ̃.tɨ
ab·ju·di·can·te,nome masculino,ɐb.ʒu.di.kˈɐ̃.tɨ
ab·ju·di·can·te,nome feminino,ɐb.ʒu.di.kˈɐ̃.tɨ
ab·ju·gar,verbo,ɐb.ʒu.gˈaɾ
ab·jun·ção,nome feminino,ɐb.ʒũ.sˈɐ̃w
ab·jun·gir,verbo,ɐb.ʒũ.ʒˈiɾ
ab·ju·ra·ção,nome feminino,ɐb.ʒu.ɾɐ.sˈɐ̃w
ab·ju·ra·do,adjetivo,ɐb.ʒu.ɾˈa.du
ab·ju·ra·men·to,nome masculino,ɐb.ʒu.ɾɐ.mˈẽ.tu
ab·ju·rar,verbo,ɐb.ʒu.ɾˈaɾ
a·bla·ção,nome feminino,ɐ.blɐ.sˈɐ̃w
a·blac·ta·ção,nome feminino,ɐb.lɐk.tɐ.sˈɐ̃w
a·blac·tar,verbo,ɐb.lɐk.tˈaɾ
a·bla·me·lar,adjetivo,ɐb.lɐ.mɨ.lˈaɾ
a·bla·mi·nar,adjetivo,ɐb.lɐ.mi.nˈaɾ
a·bla·mi·ná·ri·a,nome feminino,ɐb.lɐ.mi.nˈa.ɾjɐ
a·bla·que·a·ção,nome feminino,ɐb.lɐ.kja.sˈɐ̃w
a·bla·que·ar,verbo,ɐb.lɐ.kjˈaɾ
ab·le·ga·ção,nome feminino,ɐb.lɨ.gɐ.sˈɐ̃w
ab·le·ga·do,nome masculino,ɐb.lɨ.gˈa.du
ab·le·ga·do,adjetivo,ɐb.lɨ.gˈa.du
ab·le·gar,verbo,ɐb.lɨ.gˈaɾ
a·blei·tar,verbo,ɐb.lɐj.tˈaɾ
a·blo·ca·ção,nome feminino,ɐb.lu.kɐ.sˈɐ̃w
a·blo·ca·dor,adjetivo,ɐb.lu.kɐ.dˈoɾ
a·blo·ca·dor,nome masculino,ɐb.lu.kɐ.dˈoɾ
a·blo·car,verbo,ɐb.lu.kˈaɾ
a·blo·ca·tá·ri·o,nome masculino,ɐb.lu.kɐ.tˈa.ɾju
a·blu·ção,nome feminino,ɐ.blu.sˈɐ̃w
ab·ne·ga·ção,nome feminino,ɐb.nɨ.gɐ.sˈɐ̃w
ab·ne·ga·da·men·te,advérbio,ɐb.nɨ.gɐ.dɐ.mˈẽ.tɨ
ab·ne·ga·do,adjetivo,ɐb.nɨ.gˈa.du
ab·ne·ga·dor,adjetivo,ɐb.nɨ.gɐ.dˈoɾ
ab·ne·ga·dor,nome masculino,ɐb.nɨ.gɐ.dˈoɾ
ab·ne·gar,verbo,ɐb.nɨ.gˈaɾ
ab·ne·ga·ti·vo,adjetivo,ɐb.nɨ.gɐ.tˈi.vu
ab·ne·to,nome masculino,ɐb.nˈɛ.tu
ab·no·do·so,adjetivo,ɐb.nu.dˈo.zu
ab·nor·mal,adjetivo,ɐb.nɔɾ.mˈaɫ
a·bo·ar,verbo,ɐ.bwˈaɾ
a·bó·ba·da,nome feminino,ɐ.bˈɔ.bɐ.dɐ
a·bo·ba·da·do,adjetivo,ɐ.bu.bɐ.dˈa.du
a·bo·ba·dar,verbo,ɐ.bu.bɐ.dˈaɾ
a·bo·ba·di·lha,nome feminino,ɐ.bu.bɐ.dˈi.ʎɐ
a·bó·bo·ra,nome feminino,ɐ.bˈɔ.bu.ɾɐ
a·bo·bo·rar,verbo,ɐ.bu.bu.ɾˈaɾ
a·bo·bo·rei·ra,nome feminino,ɐ.bu.bu.ɾˈɐj.ɾɐ
a·bo·bra,nome feminino,ɐ.bˈɔ.bɾɐ
a·bo·bra,interjeição,ɐ.bˈɔ.bɾɐ
a·bo·brei·ra,nome feminino,ɐ.bu.bɾˈɐj.ɾɐ
a·bo·ca,interjeição,ɐ.bˈɔ.kɐ
a·bo·ca·nha·do,adjetivo,ɐ.bu.kɐ.ɲˈa.du
a·bo·ca·nhar,verbo,ɐ.bu.kɐ.ɲˈaɾ
a·bo·car,verbo,ɐ.bɔ.kˈaɾ
a·boi·o,nome masculino,ɐ.bˈoj.u
a·boi·o,adjetivo,ɐ.bˈoj.u
a·bo·la,nome feminino,ɐ.bˈɔ.lɐ
a·bo·lar,verbo,ɐ.bu.lˈaɾ
a·bo·le·a·do,adjetivo,ɐ.bɔ.ljˈa.du
a·bo·le·ar,verbo,ɐ.bɔ.ljˈaɾ
a·bo·le·ta·do,nome masculino,ɐ.bu.lɨ.tˈa.du
a·bo·le·ta·do,adjetivo,ɐ.bu.lɨ.tˈa.du
a·bo·le·tar,verbo,ɐ.bu.lɨ.tˈaɾ
a·bo·lhar,verbo,ɐ.bu.ʎˈaɾ
a·bo·li·ção,nome feminino,ɐ.bu.li.sˈɐ̃w
a·bo·li·ci·o·nis·mo,nome masculino,ɐ.bu.li.sju.nˈiʒ.mu
a·bo·li·ci·o·nis·ta,adjetivo,ɐ.bu.li.sju.nˈiʃ.tɐ
a·bo·li·ci·o·nis·ta,nome masculino,ɐ.bu.li.sju.nˈiʃ.tɐ
a·bo·li·ci·o·nis·ta,nome feminino,ɐ.bu.li.sju.nˈiʃ.tɐ
a·bo·li·do,adjetivo,ɐ.bu.lˈi.du
a·bo·lir,verbo,ɐ.bu.lˈiɾ
a·bo·mi·na·ção,nome feminino,ɐ.bu.mi.nɐ.sˈɐ̃w
a·bo·mi·nan·do,adjetivo,ɐ.bu.mi.nˈɐ̃.du
a·bo·mi·nar,verbo,ɐ.bu.mi.nˈaɾ
a·bo·mi·ná·vel,adjetivo,ɐ.bu.mi.nˈa.vɛɫ
a·bo·mi·na·vel·men·te,advérbio,ɐ.bu.mi.nɐ.vɛɫ.mˈẽ.tɨ
a·bo·mi·no·so,adjetivo,ɐ.bɔ.mi.nˈo.zu
a·bo·na·ção,nome feminino,ɐ.bu.nɐ.sˈɐ̃w
a·bo·na·da·men·te,advérbio,ɐ.bu.na.dɐ.mˈẽ.tɨ
a·bo·na·do,adjetivo,ɐ.bu.nˈa.du
a·bo·nar,verbo,ɐ.bu.nˈaɾ
a·bo·na·to·ri·a·men·te,advérbio,ɐ.bu.na.tɔ.ɾja.mˈẽ.tɨ
a·bo·na·tó·ri·o,adjetivo,ɐ.bu.nɐ.tˈɔ.ɾju
a·bon·da,interjeição,ɐ.bˈõ.dɐ
a·bon·de,advérbio,ɐ.bˈõ.dɨ
a·bo·no,nome masculino,ɐ.bˈo.nu
a·bo·ral,adjetivo,ɐ.bu.ɾˈaɫ
a·bor·bi·tar,verbo,ɐ.bɔɾ.bi.tˈaɾ
a·bor·da·da,nome feminino,ɐ.boɾ.dˈa.dɐ
a·bor·da·do,adjetivo,ɐ.boɾ.dˈa.du
a·bor·da·gem,nome feminino,ɐ.boɾ.dˈa.ʒɐ̃j
a·bor·dar,verbo,ɐ.boɾ.dˈaɾ
a·bor·dá·vel,adjetivo,ɐ.boɾ.dˈa.vɛɫ
a·bor·do,nome masculino,ɐ.bˈoɾ.du
a·bo·rí·ge·ne,adjetivo,ɐ.bu.ɾˈi.ʒɨ.nɨ
a·bo·rí·ge·ne,nome masculino,ɐ.bu.ɾˈi.ʒɨ.nɨ ou ɐ.bu.ɾˈi.ʒɨ.nɨ
a·bor·re·cer,verbo,ɐ.bu.ʀɨ.sˈeɾ
a·bor·re·ci·da,nome feminino,ɐ.bu.ʀɨ.sˈi.dɐ
a·bor·re·ci·da·men·te,advérbio,ɐ.bu.ʀɨ.si.dɐ.mˈẽ.tɨ
a·bor·re·ci·do,adjetivo,ɐ.bu.ʀɨ.sˈi.du
a·bor·re·ci·do,nome masculino,ɐ.bu.ʀɨ.sˈi.du
a·bor·re·ci·men·to,nome masculino,ɐ.bu.ʀɨ.si.mˈẽ.tu
a·bor·ta·dei·ra,nome feminino,ɐ.boɾ.tɐ.dˈɐj.ɾɐ
a·bor·ta·do,adjetivo,ɐ.boɾ.tˈa.du
a·bor·ta·do,nome masculino,ɐ.boɾ.tˈa.du
a·bor·ta·men·to,nome masculino,ɐ.boɾ.tɐ.mˈẽ.tu
a·bor·tar,verbo,ɐ.boɾ.tˈaɾ
a·bor·ti·va·men·te,advérbio,ɐ.boɾ.ti.vɐ.mˈẽ.tɨ
a·bor·ti·vo,nome masculino,ɐ.boɾ.tˈi.vu
a·bor·ti·vo,adjetivo,ɐ.boɾ.tˈi.vu
a·bor·to,nome masculino,ɐ.bˈoɾ.tu
a·bo·ta,nome feminino,ɐ.bˈo.tɐ
a·bo·to·a·do,adjetivo,ɐ.bu.twˈa.du
a·bo·to·ar,verbo,ɐ.bu.twˈaɾ
a·bra,nome feminino,ˈa.bɾɐ
a·bra·ca·da·bra,nome masculino,ɐ.bɾɐ.kɐ.dˈa.bɾɐ
a·bra·ça·do,adjetivo,ɐ.bɾɐ.sˈa.du
a·bra·çar,verbo,ɐ.bɾɐ.sˈaɾ
a·bra·ço,nome masculino,ɐ.bɾˈa.su
a·bran·da·do,adjetivo,ɐ.bɾɐ̃.dˈa.du
a·bran·da·men·to,nome masculino,ɐ.bɾɐ̃.dɐ.mˈẽ.tu
a·bran·dar,verbo,ɐ.bɾɐ̃.dˈaɾ
a·bran·gên·ci·a,nome feminino,ɐ.bɾɐ̃.ʒˈẽ.sjɐ
a·bran·gen·te,adjetivo,ɐ.bɾɐ̃.ʒˈẽ.tɨ
a·bran·ger,verbo,ɐ.bɾɐ̃.ʒˈeɾ
a·bran·gi·do,adjetivo,ɐ.bɾɐ̃.ʒˈi.du
a·bran·ti·na,nome feminino,ɐ.bɾɐ̃.tˈi.nɐ
a·bran·ti·no,nome masculino,ɐ.bɾɐ̃.tˈi.nu
a·bran·ti·no,adjetivo,ɐ.bɾɐ̃.tˈi.nu
a·bra·sa·da·men·te,advérbio,ɐ.bɾa.zɐ.dɐ.mˈẽ.tɨ
a·bra·sa·do,adjetivo,ɐ.bɾɐ.zˈa.du
a·bra·sa·dor,adjetivo,ɐ.bɾɐ.zɐ.dˈoɾ
a·bra·sa·do·ra·men·te,advérbio,ɐ.bɾa.zɐ.du.ɾɐ.mˈẽ.tɨ
a·bra·são,nome feminino,ɐ.bɾɐ.zˈɐ̃w
a·bra·sar,verbo,ɐ.bɾɐ.zˈaɾ
a·bra·si·lei·ra·da·men·te,advérbio,ɐ.bɾa.zi.lɐj.ɾɐ.dɐ.mˈẽ.tɨ
a·bra·si·lei·ra·do,adjetivo,ɐ.bɾɐ.zi.lɐj.ɾˈa.du
a·bra·si·lei·rar,verbo,ɐ.bɾɐ.zi.lɐj.ɾˈaɾ
a·bra·si·vo,adjetivo,ɐ.bɾɐ.zˈi.vu
a·bra·si·vo,nome masculino,ɐ.bɾɐ.zˈi.vu
a·bre-la·tas,nome masculino,ˌa.bɾɨ.lˈa.tɐʃ
